                                           Experiment  Subset   Metric  File     Value                                  Model        CNN          RNN  LENGTH
117  Evaluation-ResNet152_Transformer-finetuned-clip2     180  ROC-AUC     3  0.918233  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer     180
118  Evaluation-ResNet152_Transformer-finetuned-clip2     180  ROC-AUC     4  0.902123  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer     180
119  Evaluation-ResNet152_Transformer-finetuned-clip2     180  ROC-AUC     5  0.919736  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer     180

Metric
ROC-AUC    0.933075

BiGRU -> [92.5493616339202, 94.0848342048793, 95.57064381587543, 96.38141741892353] [ AVG = 94.64656426839962 ]
BiLSTM -> [92.5461072018674, 93.75458566099647, 95.20007741436957, 95.78503981053113] [ AVG = 94.32145252194114 ]
GRU -> [92.0743652744464, 93.01489318087664, 94.59488105315563, 95.6676609773725] [ AVG = 93.8379501214628 ]
LSTM -> [92.01833199383628, 92.8330872885298, 94.04888960573942, 94.70008858569689] [ AVG = 93.4000993684506 ]
Transformer -> [92.05148559712322, 92.77160914996679, 92.66104320397982, 91.73799658078353] [ AVG = 92.30553363296335 ]
Mamba -> [90.61334800640417, 91.10424990474353, 92.01217051306439, 91.602888371582] [ AVG = 91.33316419894851 ]
