                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
141          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Idl     2  0.440678          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
142          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Idl     3  0.066667          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
143          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Idl     4  0.320988          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
144          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Idl     5  0.000000          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
145          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Inc     1  0.561151          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
146          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Inc     2  0.451613          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
147          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Inc     3  0.540541          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
148          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Inc     4  0.552239          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
149          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Inc     5  0.609929          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
150          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Vis     1  0.241758          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
151          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Vis     2  0.265306          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
152          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Vis     3  0.275862          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
153          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Vis     4  0.000000          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
154          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Vis     5  0.226087          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
155          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Cap     1  0.611111          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
156          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Cap     2  0.689076          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
157          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Cap     3  0.605263          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
158          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Cap     4  0.455090          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
159          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Cap     5  0.598131          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
160          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Hyd     1  0.294574          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
161          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Hyd     2  0.553191          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
162          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Hyd     3  0.434783          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
163          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Hyd     4  0.260870          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
164          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Hyd     5  0.000000          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
165          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Pha     1  0.826446          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
166          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Pha     2  0.873950          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
167          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Pha     3  0.901099          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
168          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Pha     4  0.745763          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
169          Evaluation-ResNet152_LSTM5-finetuned  F1-Score-Pha     5  0.745763          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
170          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-IA     1  0.610169          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
171          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-IA     2  0.654206          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
172          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-IA     3  0.680412          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
173          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-IA     4  0.542636          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
174          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-IA     5  0.404762          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
175          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-CP     1  0.333333          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
176          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-CP     2  0.419355          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
177          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-CP     3  0.356436          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
178          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-CP     4  0.194690          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
179          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-CP     5  0.372093          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
180          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-LI     1  0.666667          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
181          Evaluation-ResNet152_LSTM5-finetuned   F1-Score-LI     2  0.661290          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
